id,manipulator,date,time
6640-101753,TRACK_1,2021-03-01,10:37:33
6640-101753,TRACK_1,2021-04-28,10:02:58
6640-101753,TRACK_1,2021-05-12,10:19:55
6640-101753,TRACK_1,2021-05-18,08:07:42
6640-101753,TRACK_1,2021-05-19,08:07:58
6640-101753,TRACK_1,2021-05-21,08:07:07
6640-101753,TRACK_1,2021-05-25,08:08:56
6640-101753,TRACK_1,2021-06-02,06:39:43
6640-101753,TRACK_1,2021-06-23,04:02:54
6640-101753,TRACK_1,2021-06-30,02:35:24
6640-101753,TRACK_1,2021-07-14,02:35:26
6640-101753,TRACK_1,2021-11-10,02:06:31
6640-101753,TRACK_1,2021-12-01,02:06:10
6640-101753,TRACK_1,2021-12-22,02:05:47
6640-101753,TRACK_1,2022-01-05,02:05:14
6640-101753,TRACK_1,2022-01-12,02:04:51
6640-101753,TRACK_1,2022-02-02,02:04:33
6640-101753,TRACK_1,2022-02-09,02:04:03
6640-101753,TRACK_1,2022-02-17,02:03:40
6640-101753,TRACK_1,2022-03-01,02:02:50
6640-101753,TRACK_1,2022-03-02,02:03:22
6640-101753,TRACK_1,2022-12-08,06:58:21
6640-101753,TRACK_1,2022-12-23,05:31:36
6640-101753,TRACK_1,2023-01-19,05:29:52
6640-101753,TRACK_1,2023-01-31,10:26:33
6640-101753,TRACK_1,2023-02-01,10:27:05
6640-101753,TRACK_1,2023-02-15,09:00:55
6640-101753,TRACK_1,2023-02-22,10:17:03
6640-101753,TRACK_1,2023-03-08,10:17:56
6640-101753,TRACK_1,2023-04-01,02:44:41
6640-101753,TRACK_1,2023-04-05,12:38:09
6640-101753,TRACK_1,2023-04-14,02:56:58
6640-101753,TRACK_1,2023-04-26,02:28:18
6640-101753,TRACK_1,2023-05-12,10:17:35
6640-101753,TRACK_1,2023-05-17,11:53:08
6640-101753,TRACK_1,2023-06-21,10:33:34
6640-101753,TRACK_1,2023-06-28,10:33:37
6640-101753,TRACK_1,2023-07-05,06:13:35
6640-101753,TRACK_1,2023-07-19,09:19:48
6640-101753,TRACK_1,2023-07-20,04:23:06
6640-101753,TRACK_1,2023-08-17,12:08:05
6640-101753,TRACK_1,2023-08-23,04:16:15
6640-101753,TRACK_1,2023-09-14,01:10:39
6640-101753,TRACK_1,2023-10-04,05:33:36
6640-101753,TRACK_1,2023-10-25,05:32:02
6640-101753,TRACK_1,2023-11-09,12:14:46
6640-101753,TRACK_1,2023-11-15,04:24:27
6640-101753,TRACK_1,2023-11-29,05:21:21
6640-101753,TRACK_1,2023-12-13,04:12:52
6640-101753,TRACK_1,2023-12-20,05:08:22
6640-101753,TRACK_1,2024-01-02,08:16:44
6640-101753,TRACK_1,2024-01-11,01:29:19
6640-101753,TRACK_1,2024-01-19,08:18:20
6640-101753,TRACK_1,2024-01-31,04:43:23
6640-101755,TRACK_1,2020-10-14,01:35:32
6640-101755,TRACK_1,2021-03-01,10:37:38
6640-101755,TRACK_1,2021-04-28,10:03:25
6640-101755,TRACK_1,2021-05-12,10:20:20
6640-101755,TRACK_1,2021-05-19,08:08:07
6640-101755,TRACK_1,2021-05-21,08:07:36
6640-101755,TRACK_1,2021-06-02,06:40:03
6640-101755,TRACK_1,2021-06-16,04:18:45
6640-101755,TRACK_1,2021-06-30,02:35:45
6640-101755,TRACK_1,2021-07-14,02:35:34
6640-101755,TRACK_1,2021-11-10,02:06:53
6640-101755,TRACK_1,2021-11-24,02:07:47
6640-101755,TRACK_1,2021-12-08,02:06:24
6640-101755,TRACK_1,2021-12-22,02:06:12
6640-101755,TRACK_1,2022-01-05,02:05:45
6640-101755,TRACK_1,2022-01-12,02:04:54
6640-101755,TRACK_1,2022-01-26,03:39:30
6640-101755,TRACK_1,2022-02-02,02:05:02
6640-101755,TRACK_1,2022-02-17,02:03:59
6640-101755,TRACK_1,2022-03-01,02:03:02
6640-101755,TRACK_1,2022-03-02,02:03:45
6640-101755,TRACK_1,2022-12-23,05:31:48
6640-101755,TRACK_1,2023-01-03,05:31:02
6640-101755,TRACK_1,2023-01-05,05:31:13
6640-101755,TRACK_1,2023-01-31,10:26:55
6640-101755,TRACK_1,2023-02-01,10:27:33
6640-101755,TRACK_1,2023-02-08,09:02:22
6640-101755,TRACK_1,2023-02-15,09:01:11
6640-101755,TRACK_1,2023-03-01,10:16:44
6640-101755,TRACK_1,2023-04-01,02:44:56
6640-101755,TRACK_1,2023-04-19,02:29:14
6640-101755,TRACK_1,2023-05-12,10:18:02
6640-101755,TRACK_1,2023-05-25,10:17:42
6640-101755,TRACK_1,2023-06-21,10:33:38
6640-101755,TRACK_1,2023-06-28,10:33:40
6640-101755,TRACK_1,2023-07-13,02:33:01
6640-101755,TRACK_1,2023-07-28,09:19:46
6640-101755,TRACK_1,2023-08-17,12:12:43
6640-101755,TRACK_1,2023-08-24,01:22:25
6640-101755,TRACK_1,2023-09-20,04:24:54
6640-101755,TRACK_1,2023-10-04,05:38:21
6640-101755,TRACK_1,2023-10-11,04:21:10
6640-101755,TRACK_1,2023-11-01,05:24:33
6640-101755,TRACK_1,2023-11-22,04:18:31
6640-101755,TRACK_1,2023-12-06,04:26:51
6640-101755,TRACK_1,2023-12-13,04:17:29
6640-101755,TRACK_1,2024-01-10,05:29:29
6640-101755,TRACK_1,2024-01-24,05:37:36
6640-101813,TRACK_1,2020-10-14,01:53:52
6640-101813,TRACK_1,2021-03-01,10:40:21
6640-101813,TRACK_1,2021-04-28,10:10:00
6640-101813,TRACK_1,2021-05-12,10:28:18
6640-101813,TRACK_1,2021-05-20,08:16:40
6640-101813,TRACK_1,2021-06-04,04:26:32
6640-101813,TRACK_1,2021-06-07,04:27:08
6640-101813,TRACK_1,2021-06-09,04:26:42
6640-101813,TRACK_1,2021-06-14,04:26:21
6640-101813,TRACK_1,2021-06-17,04:27:18
6640-101813,TRACK_1,2021-06-24,02:43:06
6640-101813,TRACK_1,2021-11-11,02:14:45
6640-101813,TRACK_1,2021-11-18,02:17:31
6640-101813,TRACK_1,2021-12-09,02:14:33
6640-101813,TRACK_1,2021-12-16,02:14:04
6640-101813,TRACK_1,2021-12-23,02:14:00
6640-101813,TRACK_1,2022-01-06,02:14:26
6640-101813,TRACK_1,2022-01-13,02:13:57
6640-101813,TRACK_1,2022-01-27,02:12:41
6640-101813,TRACK_1,2022-02-18,02:11:03
6640-101813,TRACK_1,2022-08-22,09:09:06
6640-101813,TRACK_1,2022-08-23,10:37:19
6640-101813,TRACK_1,2022-10-10,06:40:39
6640-101813,TRACK_1,2022-10-13,06:40:58
6640-101813,TRACK_1,2022-10-14,06:40:49
6640-101813,TRACK_1,2022-10-18,06:40:33
6640-101813,TRACK_1,2022-10-19,08:08:20
6640-101813,TRACK_1,2022-10-21,06:40:38
6640-101813,TRACK_1,2022-10-24,08:09:23
