id,spectrum,anom_params,log_prob,anom_type
7600-100440|2022-11-10_09:42:57,torqueactual_0.0_3000.0,{},893.029353938706,non-anomalous
7600-100440|2022-11-10_09:42:57,torqueactual_3050.0_6050.0,{},1249.4405399602274,non-anomalous
7600-100440|2022-11-10_09:42:57,torqueactual_6100.0_9100.0,{},1384.135647760552,non-anomalous
7600-100440|2022-11-10_09:42:57,torqueactual_9150.0_12150.0,{},-732.5677148337176,non-anomalous
7600-100440|2022-11-10_09:42:57,torqueactual_12200.0_15200.0,{},2691.4133132631787,non-anomalous
7600-100440|2022-11-10_09:42:57,torqueactual_15250.0_18250.0,{},3163.125893713626,non-anomalous
7600-100440|2022-12-08_09:40:32,torqueactual_0.0_3000.0,{},666.5030882129026,non-anomalous
7600-100440|2022-12-08_09:40:32,torqueactual_3050.0_6050.0,{},1217.2752177651744,non-anomalous
7600-100440|2022-12-08_09:40:32,torqueactual_6100.0_9100.0,{},1685.436813844602,non-anomalous
7600-100440|2022-12-08_09:40:32,torqueactual_9150.0_12150.0,{},-848.714456105235,non-anomalous
7600-100440|2022-12-08_09:40:32,torqueactual_12200.0_15200.0,{},2792.3738314408592,non-anomalous
7600-100440|2022-12-08_09:40:32,torqueactual_15250.0_18250.0,{},3083.1934408104134,non-anomalous
7600-100440|2022-02-28_04:51:33,torqueactual_0.0_3000.0,{},339.03849332307715,non-anomalous
7600-100440|2022-02-28_04:51:33,torqueactual_3050.0_6050.0,{},1239.5321321179067,non-anomalous
7600-100440|2022-02-28_04:51:33,torqueactual_6100.0_9100.0,{},1378.7778675407824,non-anomalous
7600-100440|2022-02-28_04:51:33,torqueactual_9150.0_12150.0,{},-806.5341994099392,non-anomalous
7600-100440|2022-02-28_04:51:33,torqueactual_12200.0_15200.0,{},2861.829697123255,non-anomalous
7600-100440|2022-02-28_04:51:33,torqueactual_15250.0_18250.0,{},3088.7264539584385,non-anomalous
7600-100440|2022-01-13_04:57:50,torqueactual_0.0_3000.0,{},972.9332050676703,non-anomalous
7600-100440|2022-01-13_04:57:50,torqueactual_3050.0_6050.0,{},1167.3612308685088,non-anomalous
7600-100440|2022-01-13_04:57:50,torqueactual_6100.0_9100.0,{},1044.8401795557484,non-anomalous
7600-100440|2022-01-13_04:57:50,torqueactual_9150.0_12150.0,{},-779.0796958269731,non-anomalous
7600-100440|2022-01-13_04:57:50,torqueactual_12200.0_15200.0,{},2687.7068250132866,non-anomalous
7600-100440|2022-01-13_04:57:50,torqueactual_15250.0_18250.0,{},3180.263948233335,non-anomalous
7600-100440|2022-01-26_06:34:30,torqueactual_0.0_3000.0,{},918.2693140184216,non-anomalous
7600-100440|2022-01-26_06:34:30,torqueactual_3050.0_6050.0,{},1305.7622147771988,non-anomalous
7600-100440|2022-01-26_06:34:30,torqueactual_6100.0_9100.0,{},911.4443574992716,non-anomalous
7600-100440|2022-01-26_06:34:30,torqueactual_9150.0_12150.0,{},-942.6290699928331,non-anomalous
7600-100440|2022-01-26_06:34:30,torqueactual_12200.0_15200.0,{},2670.611194442537,non-anomalous
7600-100440|2022-01-26_06:34:30,torqueactual_15250.0_18250.0,{},3153.373061814344,non-anomalous
7600-100440|2022-11-03_08:14:15,torqueactual_0.0_3000.0,{},477.9912036157065,non-anomalous
7600-100440|2022-11-03_08:14:15,torqueactual_3050.0_6050.0,{},1199.7519587577117,non-anomalous
7600-100440|2022-11-03_08:14:15,torqueactual_6100.0_9100.0,{},1068.7133944285247,non-anomalous
7600-100440|2022-11-03_08:14:15,torqueactual_9150.0_12150.0,{},-788.5190550642266,non-anomalous
7600-100440|2022-11-03_08:14:15,torqueactual_12200.0_15200.0,{},2538.4157640161206,non-anomalous
7600-100440|2022-11-03_08:14:15,torqueactual_15250.0_18250.0,{},3273.8687360628446,non-anomalous
7600-100440|2022-02-03_04:56:22,torqueactual_0.0_3000.0,{},854.2203259049174,non-anomalous
7600-100440|2022-02-03_04:56:22,torqueactual_3050.0_6050.0,{},1135.9820752025148,non-anomalous
7600-100440|2022-02-03_04:56:22,torqueactual_6100.0_9100.0,{},991.2987502230782,non-anomalous
7600-100440|2022-02-03_04:56:22,torqueactual_9150.0_12150.0,{},-873.280100166337,non-anomalous
7600-100440|2022-02-03_04:56:22,torqueactual_12200.0_15200.0,{},2644.5903610023724,non-anomalous
7600-100440|2022-02-03_04:56:22,torqueactual_15250.0_18250.0,{},2934.710775409225,non-anomalous
7600-100440|2022-02-10_06:00:21,torqueactual_0.0_3000.0,{},535.1215524553537,non-anomalous
7600-100440|2022-02-10_06:00:21,torqueactual_3050.0_6050.0,{},1257.0935220047475,non-anomalous
7600-100440|2022-02-10_06:00:21,torqueactual_6100.0_9100.0,{},1096.9018250722193,non-anomalous
7600-100440|2022-02-10_06:00:21,torqueactual_9150.0_12150.0,{},-728.6016396696941,non-anomalous
7600-100440|2022-02-10_06:00:21,torqueactual_12200.0_15200.0,{},2475.0626014305476,non-anomalous
7600-100440|2022-02-10_06:00:21,torqueactual_15250.0_18250.0,{},3213.582184539665,non-anomalous
7600-100440|2022-11-24_09:39:30,torqueactual_0.0_3000.0,{},803.1206658400538,non-anomalous
7600-100440|2022-11-24_09:39:30,torqueactual_3050.0_6050.0,{},1265.9688795530028,non-anomalous
7600-100440|2022-11-24_09:39:30,torqueactual_6100.0_9100.0,{},1155.1563789539086,non-anomalous
7600-100440|2022-11-24_09:39:30,torqueactual_9150.0_12150.0,{},-926.3824516132739,non-anomalous
7600-100440|2022-11-24_09:39:30,torqueactual_12200.0_15200.0,{},2881.056043547575,non-anomalous
7600-100440|2022-11-24_09:39:30,torqueactual_15250.0_18250.0,{},2925.6918593342684,non-anomalous
7600-100440|2022-02-18_04:47:55,torqueactual_0.0_3000.0,{},349.7371994498916,non-anomalous
7600-100440|2022-02-18_04:47:55,torqueactual_3050.0_6050.0,{},1344.6284507824107,non-anomalous
7600-100440|2022-02-18_04:47:55,torqueactual_6100.0_9100.0,{},1077.231883557686,non-anomalous
7600-100440|2022-02-18_04:47:55,torqueactual_9150.0_12150.0,{},-739.7324432748758,non-anomalous
7600-100440|2022-02-18_04:47:55,torqueactual_12200.0_15200.0,{},2632.0926342758994,non-anomalous
7600-100440|2022-02-18_04:47:55,torqueactual_15250.0_18250.0,{},3058.0074710656927,non-anomalous
7600-100440|2022-01-01_04:56:40,torqueactual_0.0_3000.0,{},725.5956927164829,non-anomalous
7600-100440|2022-01-01_04:56:40,torqueactual_3050.0_6050.0,{},1255.9433079738424,non-anomalous
7600-100440|2022-01-01_04:56:40,torqueactual_6100.0_9100.0,{},941.4732081788306,non-anomalous
7600-100440|2022-01-01_04:56:40,torqueactual_9150.0_12150.0,{},-926.9868796574666,non-anomalous
7600-100440|2022-01-01_04:56:40,torqueactual_12200.0_15200.0,{},2909.7106295909152,non-anomalous
7600-100440|2022-01-01_04:56:40,torqueactual_15250.0_18250.0,{},3348.890117628317,non-anomalous
7600-100440|2022-01-06_04:59:45,torqueactual_0.0_3000.0,{},870.4660727294998,non-anomalous
7600-100440|2022-01-06_04:59:45,torqueactual_3050.0_6050.0,{},1043.081579537812,non-anomalous
7600-100440|2022-01-06_04:59:45,torqueactual_6100.0_9100.0,{},832.6700473732974,non-anomalous
7600-100440|2022-01-06_04:59:45,torqueactual_9150.0_12150.0,{},-923.4106861902566,non-anomalous
7600-100440|2022-01-06_04:59:45,torqueactual_12200.0_15200.0,{},2723.176954703765,non-anomalous
7600-100440|2022-01-06_04:59:45,torqueactual_15250.0_18250.0,{},3110.582564110473,non-anomalous
7600-100440|2022-01-20_04:54:15,torqueactual_0.0_3000.0,{},880.8223485011794,non-anomalous
7600-100440|2022-01-20_04:54:15,torqueactual_3050.0_6050.0,{},1224.9730729297096,non-anomalous
7600-100440|2022-01-20_04:54:15,torqueactual_6100.0_9100.0,{},909.0487905821576,non-anomalous
7600-100440|2022-01-20_04:54:15,torqueactual_9150.0_12150.0,{},-870.3456730210603,non-anomalous
7600-100440|2022-01-20_04:54:15,torqueactual_12200.0_15200.0,{},2524.4405260504695,non-anomalous
7600-100440|2022-01-20_04:54:15,torqueactual_15250.0_18250.0,{},3001.8175999666087,non-anomalous
7600-100440|2022-12-04_08:13:51,torqueactual_0.0_3000.0,{},672.814688777012,non-anomalous
7600-100440|2022-12-04_08:13:51,torqueactual_3050.0_6050.0,{},1291.7928173781895,non-anomalous
7600-100440|2022-12-04_08:13:51,torqueactual_6100.0_9100.0,{},1082.2631771811914,non-anomalous
7600-100440|2022-12-04_08:13:51,torqueactual_9150.0_12150.0,{},-845.1459118441426,non-anomalous
7600-100440|2022-12-04_08:13:51,torqueactual_12200.0_15200.0,{},2836.796378638572,non-anomalous
7600-100440|2022-12-04_08:13:51,torqueactual_15250.0_18250.0,{},3001.1112832826216,non-anomalous
7600-100440|2022-12-15_08:10:45,torqueactual_0.0_3000.0,{},794.0039110596291,non-anomalous
7600-100440|2022-12-15_08:10:45,torqueactual_3050.0_6050.0,{},1191.8990070649256,non-anomalous
7600-100440|2022-12-15_08:10:45,torqueactual_6100.0_9100.0,{},1936.3980553440492,non-anomalous
7600-100440|2022-12-15_08:10:45,torqueactual_9150.0_12150.0,{},-849.7945403709098,non-anomalous
7600-100440|2022-12-15_08:10:45,torqueactual_12200.0_15200.0,{},2574.9488007215346,non-anomalous
7600-100440|2022-12-15_08:10:45,torqueactual_15250.0_18250.0,{},3108.7633441294274,non-anomalous
7600-100440|2022-12-23_08:03:37,torqueactual_0.0_3000.0,{},683.7526693142582,non-anomalous
7600-100440|2022-12-23_08:03:37,torqueactual_3050.0_6050.0,{},1376.3809941997229,non-anomalous
7600-100440|2022-12-23_08:03:37,torqueactual_6100.0_9100.0,{},1116.885812714644,non-anomalous
7600-100440|2022-12-23_08:03:37,torqueactual_9150.0_12150.0,{},-673.6154558025322,non-anomalous
7600-100440|2022-12-23_08:03:37,torqueactual_12200.0_15200.0,{},2864.496908827205,non-anomalous
7600-100440|2022-12-23_08:03:37,torqueactual_15250.0_18250.0,{},2974.353176565716,non-anomalous
7600-100440|2022-11-17_09:42:07,torqueactual_0.0_3000.0,{},777.0283749411012,non-anomalous
7600-100440|2022-11-17_09:42:07,torqueactual_3050.0_6050.0,{},1188.90907979858,non-anomalous
7600-100440|2022-11-17_09:42:07,torqueactual_6100.0_9100.0,{},982.6010572721736,non-anomalous
7600-100440|2022-11-17_09:42:07,torqueactual_9150.0_12150.0,{},-807.0765202732815,non-anomalous
7600-100440|2022-11-17_09:42:07,torqueactual_12200.0_15200.0,{},2850.7948897850993,non-anomalous
7600-100440|2022-11-17_09:42:07,torqueactual_15250.0_18250.0,{},3131.6671922238525,non-anomalous
7600-100440|2022-10-27_09:18:03,torqueactual_0.0_3000.0,{},770.0088063641042,non-anomalous
7600-100440|2022-10-27_09:18:03,torqueactual_3050.0_6050.0,{},1189.966113311223,non-anomalous
7600-100440|2022-10-27_09:18:03,torqueactual_6100.0_9100.0,{},835.7808548231953,non-anomalous
7600-100440|2022-10-27_09:18:03,torqueactual_9150.0_12150.0,{},-735.067897626237,non-anomalous
7600-100440|2022-10-27_09:18:03,torqueactual_12200.0_15200.0,{},2604.081400860187,non-anomalous
7600-100440|2022-10-27_09:18:03,torqueactual_15250.0_18250.0,{},3320.6840717419345,non-anomalous
